OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS
OG0005788 alternative 0.4359 0.003 0.0008 0.0018 alternative 0.0830 0.012 0.0011 0.0129 alternative 0.9446 0.241 0.0793 0.0839
OG0005789 general 0.1944 0.011 0.0017 0.0090 general 0.1944 0.007 0.0012 0.0060 general 0.1944 0.005 0.0008 0.0043
OG0005791 general 0.0746 0.005 0.0008 0.0109 general 0.0746 0.007 0.0011 0.0152 general 0.0746 0.032 0.0049 0.0653
OG0005792 general 0.2055 0.006 0.0011 0.0055 general 0.2055 0.002 0.0004 0.0019 general 0.2055 0.010 0.0019 0.0093
OG0005793 general 0.0876 0.006 0.0005 0.0053 general 0.0876 0.010 0.0008 0.0088 general 0.0876 0.017 0.0013 0.0151
OG0005794 general 0.0463 0.002 0.0003 0.0060 general 0.0463 0.021 0.0024 0.0509 general 0.0463 0.021 0.0023 0.0501
OG0005795 general 0.1131 0.010 0.0012 0.0106 general 0.1131 0.009 0.0011 0.0097 general 0.1131 0.045 0.0052 0.0463
OG0005796 alternative 0.0870 0.003 0.0004 0.0041 alternative 0.0296 0.007 0.0003 0.0114 alternative 0.1697 0.151 0.0274 0.1613
OG0005797 general 0.1234 0.000 0.0000 0.0000 general 0.1234 0.183 0.0274 0.2222 general 0.1234 0.113 0.0169 0.1368
OG0005798 general 0.4010 0.005 0.0013 0.0032 general 0.4010 0.026 0.0061 0.0151 general 0.4010 0.011 0.0027 0.0067
OG0005799 general 0.0413 0.001 0.0001 0.0015 general 0.0413 0.011 0.0007 0.0180 general 0.0413 0.060 0.0042 0.1021
OG0005800 general 0.1016 0.007 0.0008 0.0077 general 0.1016 0.019 0.0022 0.0221 general 0.1016 0.043 0.0051 0.0504
OG0005801 alternative 0.0951 0.007 0.0007 0.0079 alternative 0.3432 0.007 0.0016 0.0047 alternative 0.4664 0.036 0.0095 0.0204
OG0005802 general 0.1619 0.004 0.0007 0.0044 general 0.1619 0.012 0.0021 0.0127 general 0.1619 0.038 0.0063 0.0390
OG0005803 alternative 0.7885 0.036 0.0113 0.0143 alternative 0.0001 0.006 0.0000 0.0076 alternative 0.0001 0.004 0.0000 0.0053
OG0005804 general 0.2003 0.012 0.0018 0.0092 general 0.2003 0.010 0.0015 0.0076 general 0.2003 0.034 0.0054 0.0271
OG0005805 general 0.1282 0.005 0.0006 0.0048 general 0.1282 0.004 0.0005 0.0037 general 0.1282 0.000 0.0000 0.0002
OG0005806 alternative 0.3292 0.010 0.0021 0.0063 alternative 0.3518 0.011 0.0024 0.0069 alternative 0.8203 0.019 0.0060 0.0073
OG0005807 general 0.0357 0.010 0.0005 0.0149 general 0.0357 0.026 0.0014 0.0387 general 0.0357 0.023 0.0012 0.0349
OG0005808 general 0.1087 0.013 0.0014 0.0126 general 0.1087 0.008 0.0009 0.0078 general 0.1087 0.022 0.0023 0.0210
OG0005809 alternative 0.6106 0.323 0.0896 0.1468 alternative 0.0001 0.016 0.0000 0.0165 alternative 2.1887 0.000 0.0000 0.0000
OG0005810 general 0.0320 0.020 0.0010 0.0307 general 0.0320 0.013 0.0006 0.0200 general 0.0320 0.025 0.0012 0.0390
OG0005811 general 0.1130 0.007 0.0010 0.0085 general 0.1130 0.003 0.0003 0.0030 general 0.1130 0.004 0.0005 0.0044
OG0005812 general 0.2677 0.009 0.0018 0.0068 general 0.2677 0.011 0.0023 0.0085 general 0.2677 0.000 0.0000 0.0000
OG0005814 alternative 0.0001 0.005 0.0000 0.0086 alternative 0.5062 0.098 0.0273 0.0539 alternative 0.0579 0.011 0.0009 0.0150
OG0005815 general 0.0197 0.000 0.0000 0.0000 general 0.0197 0.005 0.0003 0.0135 general 0.0197 0.003 0.0002 0.0082
OG0005816 general 0.1607 0.005 0.0008 0.0048 general 0.1607 0.010 0.0014 0.0085 general 0.1607 0.029 0.0041 0.0254
OG0005817 alternative 0.3417 0.112 0.0278 0.0815 alternative 0.1408 0.009 0.0015 0.0104 alternative 0.0922 0.032 0.0038 0.0415
OG0005818 alternative 0.5754 0.069 0.0192 0.0333 alternative 0.4424 0.003 0.0006 0.0014 alternative 0.1312 0.010 0.0012 0.0094
OG0005820 general 0.0038 0.003 0.0000 0.0042 general 0.0038 0.005 0.0000 0.0067 general 0.0038 0.000 0.0000 0.0000
OG0005821 alternative 0.3823 0.062 0.0165 0.0431 alternative 0.0276 0.038 0.0019 0.0693 alternative 0.3187 0.158 0.0394 0.1236
OG0005822 general 0.1296 0.011 0.0012 0.0093 general 0.1296 0.008 0.0009 0.0068 general 0.1296 0.012 0.0014 0.0105
OG0005823 general 0.1047 34.539 4.2037 40.1490 general 0.1047 0.049 0.0060 0.0572 general 0.1047 0.055 0.0067 0.0639
OG0005824 general 0.0411 0.026 0.0013 0.0327 general 0.0411 0.007 0.0004 0.0093 general 0.0411 0.076 0.0039 0.0958
OG0005825 alternative 0.3790 0.008 0.0018 0.0048 alternative 0.5961 0.009 0.0026 0.0043 alternative 0.0930 0.018 0.0015 0.0164
OG0005827 general 0.1557 0.005 0.0007 0.0043 general 0.1557 0.049 0.0068 0.0438 general 0.1557 0.015 0.0021 0.0137
OG0005828 general 0.2289 0.006 0.0011 0.0046 general 0.2289 0.008 0.0015 0.0064 general 0.2289 0.013 0.0023 0.0101
OG0005829 general 0.1983 0.006 0.0010 0.0050 general 0.1983 0.008 0.0014 0.0072 general 0.1983 0.022 0.0039 0.0199
OG0005830 general 0.3917 0.159 0.0397 0.1012 general 0.3917 0.031 0.0077 0.0197 general 0.3917 0.043 0.0107 0.0274
OG0005831 general 0.2201 0.013 0.0023 0.0104 general 0.2201 0.014 0.0024 0.0110 general 0.2201 0.022 0.0039 0.0177
OG0005832 general 0.1603 0.003 0.0004 0.0024 general 0.1603 0.012 0.0018 0.0111 general 0.1603 0.006 0.0009 0.0059
OG0005833 general 0.0536 0.005 0.0004 0.0074 general 0.0536 0.011 0.0009 0.0165 general 0.0536 0.021 0.0017 0.0319
OG0005835 alternative 0.1123 0.030 0.0041 0.0368 alternative 0.1031 0.025 0.0033 0.0322 alternative 0.3002 0.043 0.0101 0.0338
OG0005837 general 0.0840 0.009 0.0009 0.0113 general 0.0840 0.009 0.0009 0.0112 general 0.0840 0.059 0.0065 0.0769
OG0005838 general 0.1320 0.005 0.0006 0.0049 general 0.1320 0.012 0.0015 0.0115 general 0.1320 0.023 0.0029 0.0220
OG0005839 general 0.0479 0.007 0.0004 0.0079 general 0.0479 0.004 0.0002 0.0042 general 0.0479 0.000 0.0000 0.0000
OG0005840 general 0.1657 0.007 0.0010 0.0062 general 0.1657 0.007 0.0010 0.0063 general 0.1657 0.063 0.0093 0.0559
OG0005841 general 0.0943 0.007 0.0008 0.0085 general 0.0943 0.007 0.0008 0.0082 general 0.0943 0.012 0.0014 0.0143
OG0005842 general 0.2826 0.032 0.0070 0.0248 general 0.2826 0.005 0.0011 0.0040 general 0.2826 0.060 0.0130 0.0460
OG0005845 alternative 0.0634 0.024 0.0025 0.0391 alternative 0.3765 0.060 0.0158 0.0421 alternative 0.0899 0.008 0.0010 0.0114
OG0005846 general 0.1533 0.010 0.0018 0.0120 general 0.1533 0.030 0.0054 0.0353 general 0.1533 0.094 0.0170 0.1107
OG0005848 general 0.1786 0.004 0.0005 0.0031 general 0.1786 0.004 0.0007 0.0037 general 0.1786 0.003 0.0005 0.0028
OG0005849 alternative 0.0588 0.005 0.0003 0.0052 alternative 0.0485 0.011 0.0006 0.0131 alternative 1.8297 0.000 0.0000 0.0000
OG0005852 general 0.0324 0.005 0.0002 0.0076 general 0.0324 0.009 0.0005 0.0139 general 0.0324 0.002 0.0001 0.0033
OG0005853 general 0.1099 0.007 0.0007 0.0067 general 0.1099 0.011 0.0011 0.0103 general 0.1099 0.015 0.0016 0.0142
OG0005854 general 0.1670 0.007 0.0011 0.0069 general 0.1670 0.007 0.0011 0.0064 general 0.1670 0.009 0.0015 0.0090
OG0005855 alternative 0.3887 0.281 0.0648 0.1668 alternative 0.3346 0.012 0.0026 0.0078 alternative 0.1154 0.028 0.0029 0.0255
OG0005856 general 0.1612 0.015 0.0022 0.0138 general 0.1612 0.012 0.0017 0.0104 general 0.1612 0.009 0.0013 0.0082
OG0005857 general 0.0351 0.006 0.0003 0.0073 general 0.0351 0.012 0.0005 0.0154 general 0.0351 0.024 0.0011 0.0300
OG0005858 general 0.1003 0.006 0.0007 0.0068 general 0.1003 0.008 0.0010 0.0097 general 0.1003 0.000 0.0000 0.0000
OG0005860 alternative 2.0892 0.023 0.0087 0.0042 alternative 1.1180 0.124 0.0426 0.0381 alternative 0.3727 0.006 0.0014 0.0039
OG0005861 alternative 0.0001 0.003 0.0000 0.0061 alternative 0.0001 0.007 0.0000 0.0148 alternative 0.2728 0.100 0.0239 0.0875
OG0005862 general 0.0993 0.005 0.0005 0.0048 general 0.0993 0.009 0.0009 0.0088 general 0.0993 0.005 0.0005 0.0047
OG0005863 alternative 0.4915 0.333 0.0904 0.1839 alternative 0.7805 0.054 0.0169 0.0216 alternative 0.2412 0.133 0.0262 0.1088
OG0005864 general 0.1101 0.006 0.0007 0.0059 general 0.1101 0.004 0.0005 0.0041 general 0.1101 0.025 0.0027 0.0243
OG0005865 general 0.0575 0.010 0.0006 0.0109 general 0.0575 0.006 0.0004 0.0061 general 0.0575 0.011 0.0007 0.0119
OG0005866 general 0.1691 0.020 0.0030 0.0175 general 0.1691 0.034 0.0050 0.0296 general 0.1691 0.042 0.0061 0.0363
OG0005867 general 0.0552 0.009 0.0007 0.0132 general 0.0552 0.013 0.0011 0.0190 general 0.0552 0.018 0.0015 0.0263
OG0005868 alternative 0.0649 0.003 0.0002 0.0036 alternative 0.0213 0.008 0.0003 0.0129 alternative 0.1646 0.018 0.0031 0.0189
OG0005869 general 0.1955 0.020 0.0035 0.0179 general 0.1955 0.023 0.0041 0.0208 general 0.1955 0.035 0.0061 0.0312
OG0005871 general 0.1559 0.013 0.0022 0.0142 general 0.1559 0.006 0.0009 0.0060 general 0.1559 0.022 0.0037 0.0236
OG0005872 general 0.0136 0.000 0.0000 0.0000 general 0.0136 0.000 0.0000 0.0000 general 0.0136 0.000 0.0000 0.0000
OG0005873 general 0.1701 0.018 0.0029 0.0169 general 0.1701 0.012 0.0019 0.0112 general 0.1701 0.030 0.0048 0.0284
OG0005875 general 0.2422 0.002 0.0005 0.0019 general 0.2422 0.002 0.0005 0.0019 general 0.2422 0.015 0.0030 0.0125
OG0005876 general 0.2400 0.043 0.0105 0.0436 general 0.2400 0.006 0.0014 0.0058 general 0.2400 0.025 0.0060 0.0252
OG0005877 general 0.0716 0.015 0.0012 0.0161 general 0.0716 0.000 0.0000 0.0000 general 0.0716 0.019 0.0015 0.0215
OG0005878 general 0.0672 0.004 0.0004 0.0066 general 0.0672 0.002 0.0002 0.0029 general 0.0672 0.026 0.0026 0.0381
OG0005879 general 0.0103 0.009 0.0002 0.0202 general 0.0103 0.008 0.0002 0.0170 general 0.0103 0.028 0.0006 0.0614
OG0005880 general 0.3539 0.000 0.0000 0.0000 general 0.3539 0.199 0.0486 0.1374 general 0.3539 0.016 0.0040 0.0114
OG0005881 general 0.1761 0.008 0.0012 0.0070 general 0.1761 0.005 0.0009 0.0049 general 0.1761 0.041 0.0065 0.0367
OG0005882 alternative 0.3174 0.054 0.0132 0.0415 alternative 0.1645 0.014 0.0024 0.0147 alternative 0.2397 0.158 0.0340 0.1416
OG0005883 alternative 2.2335 0.013 0.0048 0.0022 alternative 0.3894 0.029 0.0071 0.0182 alternative 0.4403 0.139 0.0356 0.0808
OG0005884 general 0.0152 0.003 0.0000 0.0029 general 0.0152 0.003 0.0000 0.0028 general 0.0152 0.013 0.0002 0.0137
OG0005885 alternative 0.0001 0.006 0.0000 0.0153 alternative 0.1341 0.036 0.0064 0.0475 alternative 0.0156 0.016 0.0005 0.0351
OG0005888 alternative 0.3764 0.054 0.0124 0.0331 alternative 0.0177 0.013 0.0003 0.0162 alternative 0.0676 0.022 0.0016 0.0233
OG0005889 alternative 0.3193 0.345 0.0760 0.2380 alternative 0.0001 0.000 0.0000 0.0000 alternative 0.0486 0.020 0.0011 0.0234
OG0005890 alternative 0.0357 0.007 0.0004 0.0116 alternative 0.2562 0.101 0.0222 0.0866 alternative 0.0969 0.012 0.0016 0.0160
OG0005893 general 0.0563 0.017 0.0019 0.0329 general 0.0563 0.031 0.0034 0.0598 general 0.0563 0.011 0.0012 0.0212
OG0005896 alternative 0.0716 0.012 0.0009 0.0132 alternative 0.0001 0.009 0.0000 0.0121 alternative 0.2294 0.054 0.0097 0.0422
OG0005897 alternative 0.3933 0.042 0.0102 0.0261 alternative 0.3874 0.024 0.0059 0.0153 alternative 0.0896 0.027 0.0027 0.0305
OG0005898 general 0.1537 0.004 0.0007 0.0047 general 0.1537 0.007 0.0012 0.0076 general 0.1537 0.016 0.0028 0.0179
OG0005899 general 0.1078 0.008 0.0009 0.0085 general 0.1078 0.006 0.0007 0.0065 general 0.1078 0.003 0.0004 0.0035
OG0005901 general 0.3135 0.010 0.0022 0.0069 general 0.3135 0.009 0.0019 0.0062 general 0.3135 0.019 0.0040 0.0129
OG0005902 general 0.0715 0.007 0.0009 0.0120 general 0.0715 0.017 0.0020 0.0275 general 0.0715 0.024 0.0029 0.0400
OG0005903 general 0.1128 0.006 0.0006 0.0052 general 0.1128 0.012 0.0013 0.0112 general 0.1128 0.023 0.0024 0.0216
OG0005904 general 0.2477 0.013 0.0029 0.0115 general 0.2477 0.009 0.0020 0.0082 general 0.2477 0.102 0.0219 0.0885
OG0005905 general 0.1703 0.013 0.0023 0.0136 general 0.1703 0.029 0.0052 0.0305 general 0.1703 0.020 0.0035 0.0208
OG0005906 alternative 0.3793 0.010 0.0022 0.0059 alternative 0.2069 0.011 0.0018 0.0087 alternative 0.2084 0.012 0.0020 0.0097
OG0005907 general 0.0919 0.007 0.0006 0.0066 general 0.0919 0.005 0.0004 0.0045 general 0.0919 0.008 0.0008 0.0082
OG0005908 general 0.0678 0.009 0.0006 0.0088 general 0.0678 0.000 0.0000 0.0000 general 0.0678 0.011 0.0007 0.0108
OG0005909 general 0.0048 0.003 0.0000 0.0037 general 0.0048 0.009 0.0001 0.0131 general 0.0048 0.011 0.0001 0.0154
OG0005910 general 0.0459 0.005 0.0004 0.0093 general 0.0459 0.008 0.0006 0.0132 general 0.0459 0.025 0.0020 0.0425
OG0005911 alternative 0.0524 0.043 0.0037 0.0713 alternative 2.4606 0.000 0.0000 0.0000 alternative 0.1197 0.087 0.0133 0.1111
OG0005912 general 0.1817 0.017 0.0027 0.0150 general 0.1817 0.003 0.0005 0.0028 general 0.1817 0.027 0.0044 0.0240
OG0005916 alternative 0.0295 0.004 0.0001 0.0048 alternative 0.0652 0.006 0.0005 0.0072 alternative 0.0001 0.003 0.0000 0.0040
OG0005917 general 0.2180 0.007 0.0011 0.0051 general 0.2180 0.010 0.0016 0.0073 general 0.2180 0.016 0.0027 0.0124
OG0005918 alternative 0.3805 0.084 0.0213 0.0559 alternative 0.1418 0.014 0.0021 0.0151 alternative 0.0710 0.044 0.0041 0.0577
OG0005919 general 0.0259 0.003 0.0001 0.0038 general 0.0259 0.006 0.0002 0.0081 general 0.0259 0.013 0.0004 0.0162
OG0005921 general 0.0424 0.009 0.0005 0.0126 general 0.0424 0.013 0.0007 0.0167 general 0.0424 0.030 0.0017 0.0396
OG0005923 general 0.0521 0.007 0.0004 0.0077 general 0.0521 0.007 0.0004 0.0083 general 0.0521 0.025 0.0015 0.0291
OG0005924 general 0.0518 0.000 0.0000 0.0000 general 0.0518 0.005 0.0002 0.0042 general 0.0518 0.012 0.0006 0.0116
OG0005925 general 0.1365 0.000 0.0000 0.0003 general 0.1365 0.015 0.0023 0.0171 general 0.1365 0.028 0.0043 0.0312
OG0005926 general 0.2597 0.012 0.0024 0.0091 general 0.2597 0.041 0.0081 0.0311 general 0.2597 0.039 0.0078 0.0301
OG0005927 general 0.0600 0.005 0.0005 0.0083 general 0.0600 0.006 0.0006 0.0100 general 0.0600 0.018 0.0019 0.0311
OG0005928 general 0.1699 0.006 0.0009 0.0053 general 0.1699 0.009 0.0015 0.0086 general 0.1699 0.023 0.0037 0.0219
OG0005929 general 0.2248 0.009 0.0015 0.0067 general 0.2248 0.014 0.0024 0.0106 general 0.2248 0.021 0.0035 0.0157
OG0005930 alternative 0.5390 0.003 0.0008 0.0015 alternative 0.1624 0.006 0.0010 0.0063 alternative 0.0001 0.007 0.0000 0.0112
OG0005931 general 0.3316 0.009 0.0018 0.0054 general 0.3316 0.006 0.0012 0.0037 general 0.3316 0.016 0.0034 0.0102
OG0005932 alternative 0.1359 0.011 0.0017 0.0126 alternative 0.9599 0.007 0.0024 0.0025 alternative 0.1421 0.079 0.0125 0.0879
OG0005934 alternative 0.0001 0.009 0.0000 0.0134 alternative 0.0001 0.005 0.0000 0.0065 alternative 0.1182 0.056 0.0068 0.0578
OG0005935 general 0.0553 0.000 0.0000 0.0000 general 0.0553 0.011 0.0006 0.0117 general 0.0553 0.044 0.0027 0.0487
OG0005936 general 0.0328 0.002 0.0001 0.0025 general 0.0328 0.013 0.0006 0.0191 general 0.0328 0.032 0.0016 0.0479
OG0005937 alternative 0.2507 0.013 0.0026 0.0104 alternative 0.0306 0.015 0.0006 0.0198 alternative 119.6811 0.000 0.0000 0.0000
OG0005938 general 0.0955 0.007 0.0007 0.0078 general 0.0955 0.020 0.0021 0.0224 general 0.0955 0.034 0.0037 0.0384
OG0005939 general 0.1474 0.037 0.0048 0.0324 general 0.1474 0.011 0.0015 0.0100 general 0.1474 0.032 0.0041 0.0279
OG0005941 general 0.1472 0.013 0.0017 0.0114 general 0.1472 0.010 0.0013 0.0086 general 0.1472 0.033 0.0042 0.0285
OG0005942 general 0.1406 0.005 0.0007 0.0050 general 0.1406 0.009 0.0011 0.0078 general 0.1406 0.016 0.0020 0.0144
OG0005943 general 0.0869 0.030 0.0036 0.0409 general 0.0869 0.009 0.0011 0.0125 general 0.0869 0.054 0.0065 0.0747
OG0005944 general 0.3067 0.070 0.0164 0.0536 general 0.3067 0.003 0.0007 0.0023 general 0.3067 0.001 0.0002 0.0006
OG0005945 general 0.0271 0.009 0.0006 0.0211 general 0.0271 0.002 0.0001 0.0054 general 0.0271 0.050 0.0031 0.1129
OG0005946 general 0.1152 0.007 0.0008 0.0065 general 0.1152 0.005 0.0005 0.0044 general 0.1152 0.026 0.0028 0.0244
OG0005947 general 0.1277 0.062 0.0097 0.0756 general 0.1277 0.013 0.0020 0.0153 general 0.1277 0.075 0.0117 0.0919
OG0005949 general 0.1516 0.010 0.0013 0.0083 general 0.1516 0.010 0.0013 0.0083 general 0.1516 0.010 0.0014 0.0089
OG0005950 general 0.0495 0.004 0.0003 0.0063 general 0.0495 0.003 0.0002 0.0044 general 0.0495 0.012 0.0009 0.0172
OG0005951 general 0.2505 0.025 0.0047 0.0187 general 0.2505 0.011 0.0019 0.0077 general 0.2505 0.018 0.0033 0.0133
OG0005952 alternative 0.8661 0.026 0.0085 0.0098 alternative 0.0001 0.002 0.0000 0.0031 alternative 0.0634 0.014 0.0009 0.0149
OG0005953 general 0.1224 0.004 0.0006 0.0045 general 0.1224 0.011 0.0014 0.0112 general 0.1224 0.015 0.0019 0.0155
OG0005954 alternative 0.3433 0.022 0.0049 0.0142 alternative 0.0408 0.015 0.0007 0.0174 alternative 0.1199 0.022 0.0026 0.0214
OG0005955 general 0.1098 0.015 0.0018 0.0163 general 0.1098 0.014 0.0017 0.0155 general 0.1098 0.063 0.0075 0.0686
OG0005957 alternative 0.0576 0.010 0.0008 0.0147 alternative 0.0280 0.017 0.0008 0.0271 alternative 0.1119 0.041 0.0054 0.0481
OG0005958 alternative 0.0001 0.001 0.0000 0.0016 alternative 0.9979 0.068 0.0228 0.0228 alternative 0.9532 0.009 0.0030 0.0031
OG0005959 general 0.2896 0.051 0.0105 0.0364 general 0.2896 0.002 0.0005 0.0017 general 0.2896 0.036 0.0074 0.0254
OG0005960 general 0.2378 0.017 0.0029 0.0121 general 0.2378 0.013 0.0023 0.0095 general 0.2378 0.047 0.0081 0.0342
OG0005961 general 0.0973 0.007 0.0008 0.0080 general 0.0973 0.004 0.0004 0.0045 general 0.0973 0.007 0.0008 0.0081
OG0005962 general 0.2960 0.009 0.0018 0.0061 general 0.2960 0.004 0.0008 0.0027 general 0.2960 0.019 0.0038 0.0128
OG0005963 general 0.1720 0.008 0.0012 0.0071 general 0.1720 0.011 0.0017 0.0102 general 0.1720 0.015 0.0024 0.0140
OG0005964 general 0.1196 0.005 0.0008 0.0068 general 0.1196 0.019 0.0031 0.0263 general 0.1196 0.019 0.0032 0.0272
OG0005967 general 0.1439 0.012 0.0022 0.0150 general 0.1439 0.037 0.0064 0.0446 general 0.1439 0.038 0.0066 0.0459
OG0005968 general 0.2470 0.013 0.0024 0.0097 general 0.2470 0.014 0.0025 0.0103 general 0.2470 0.025 0.0045 0.0182
OG0005969 general 0.0779 0.007 0.0008 0.0103 general 0.0779 0.006 0.0006 0.0083 general 0.0779 0.012 0.0013 0.0169
OG0005970 general 0.1905 0.009 0.0014 0.0076 general 0.1905 0.007 0.0011 0.0057 general 0.1905 0.007 0.0011 0.0057
OG0005971 general 0.1188 0.007 0.0009 0.0074 general 0.1188 0.002 0.0003 0.0024 general 0.1188 0.001 0.0002 0.0016
OG0005972 general 0.4047 0.011 0.0027 0.0068 general 0.4047 0.011 0.0028 0.0069 general 0.4047 0.022 0.0055 0.0136
OG0005974 general 0.1381 0.011 0.0016 0.0119 general 0.1381 0.001 0.0002 0.0015 general 0.1381 0.172 0.0255 0.1849
OG0005976 general 0.2034 0.014 0.0025 0.0122 general 0.2034 0.160 0.0290 0.1424 general 0.2034 0.058 0.0104 0.0513
OG0005977 general 0.0226 0.008 0.0004 0.0160 general 0.0226 0.004 0.0002 0.0077 general 0.0226 0.009 0.0004 0.0168
OG0005978 general 0.0705 0.022 0.0019 0.0268 general 0.0705 0.014 0.0012 0.0170 general 0.0705 0.062 0.0053 0.0752
OG0005979 general 0.0478 0.004 0.0003 0.0070 general 0.0478 0.021 0.0017 0.0350 general 0.0478 0.015 0.0012 0.0249
OG0005980 general 0.1061 0.017 0.0018 0.0170 general 0.1061 0.008 0.0008 0.0075 general 0.1061 0.037 0.0039 0.0364
OG0005981 general 0.1116 0.016 0.0031 0.0276 general 0.1116 0.008 0.0015 0.0135 general 0.1116 0.022 0.0043 0.0388
OG0005982 general 0.0430 0.001 0.0001 0.0015 general 0.0430 0.003 0.0003 0.0068 general 0.0430 0.010 0.0009 0.0216
OG0005983 general 0.2877 0.015 0.0031 0.0109 general 0.2877 0.019 0.0040 0.0138 general 0.2877 0.113 0.0238 0.0827
OG0005984 general 0.4422 0.004 0.0009 0.0021 general 0.4422 0.007 0.0017 0.0039 general 0.4422 0.008 0.0020 0.0046
OG0005985 general 0.1212 0.007 0.0009 0.0073 general 0.1212 0.045 0.0057 0.0471 general 0.1212 0.016 0.0020 0.0168
OG0005986 general 0.1604 0.009 0.0013 0.0082 general 0.1604 0.003 0.0005 0.0029 general 0.1604 0.015 0.0022 0.0138
OG0005987 general 0.0985 0.000 0.0000 0.0000 general 0.0985 0.014 0.0014 0.0141 general 0.0985 0.603 0.0617 0.6270
OG0005988 general 0.1951 0.007 0.0011 0.0057 general 0.1951 0.007 0.0012 0.0061 general 0.1951 0.020 0.0032 0.0166
OG0005989 general 0.1997 0.005 0.0008 0.0038 general 0.1997 0.006 0.0008 0.0042 general 0.1997 0.004 0.0006 0.0028
OG0005991 general 0.1243 0.010 0.0013 0.0106 general 0.1243 0.011 0.0014 0.0112 general 0.1243 0.042 0.0054 0.0431
OG0005992 general 0.0905 0.013 0.0012 0.0137 general 0.0905 0.010 0.0009 0.0103 general 0.0905 0.012 0.0011 0.0125
OG0005995 general 0.1437 0.009 0.0011 0.0079 general 0.1437 0.036 0.0047 0.0327 general 0.1437 0.016 0.0021 0.0145
OG0005996 alternative 2.5170 0.000 0.0000 0.0000 alternative 0.5215 0.302 0.0822 0.1576 alternative 0.4648 0.076 0.0198 0.0426
OG0005997 general 0.0499 4.601 0.4251 8.5213 general 0.0499 0.206 0.0191 0.3822 general 0.0499 6.357 0.5873 11.7734
OG0005999 general 0.1115 0.019 0.0022 0.0193 general 0.1115 0.019 0.0021 0.0192 general 0.1115 0.061 0.0069 0.0623
OG0006000 general 0.0441 0.004 0.0002 0.0053 general 0.0441 0.004 0.0002 0.0054 general 0.0441 0.000 0.0000 0.0000
OG0006002 general 0.0812 0.011 0.0011 0.0140 general 0.0812 0.021 0.0022 0.0276 general 0.0812 0.008 0.0008 0.0104
OG0006005 general 0.1261 0.006 0.0010 0.0076 general 0.1261 0.013 0.0021 0.0165 general 0.1261 0.053 0.0084 0.0663
OG0006007 general 0.0799 0.002 0.0002 0.0022 general 0.0799 0.003 0.0003 0.0040 general 0.0799 0.004 0.0004 0.0046
OG0006008 alternative 0.3581 0.019 0.0042 0.0117 alternative 0.5338 0.013 0.0035 0.0065 alternative 0.4006 0.047 0.0111 0.0278
OG0006009 general 0.1981 0.035 0.0059 0.0297 general 0.1981 0.070 0.0118 0.0597 general 0.1981 0.019 0.0032 0.0163
OG0006010 general 0.0830 0.412 0.0460 0.5541 general 0.0830 0.040 0.0044 0.0534 general 0.0830 0.047 0.0053 0.0635
OG0006011 alternative 0.3083 0.021 0.0056 0.0182 alternative 0.1677 0.041 0.0085 0.0509 alternative 0.0639 0.043 0.0051 0.0803
OG0006012 general 0.0227 0.011 0.0006 0.0265 general 0.0227 0.006 0.0003 0.0150 general 0.0227 0.042 0.0022 0.0988
OG0006014 general 0.0595 0.011 0.0012 0.0206 general 0.0595 0.015 0.0016 0.0276 general 0.0595 0.053 0.0057 0.0963
OG0006015 general 0.1706 0.003 0.0005 0.0030 general 0.1706 0.004 0.0006 0.0033 general 0.1706 0.037 0.0057 0.0333
OG0006016 general 0.1931 0.022 0.0036 0.0185 general 0.1931 0.008 0.0012 0.0065 general 0.1931 0.025 0.0041 0.0214
OG0006017 general 0.1179 0.012 0.0021 0.0179 general 0.1179 0.011 0.0019 0.0162 general 0.1179 0.033 0.0059 0.0503
OG0006019 general 0.0482 0.011 0.0011 0.0233 general 0.0482 0.013 0.0013 0.0277 general 0.0482 0.034 0.0034 0.0701
OG0006020 general 0.1092 0.000 0.0000 0.0000 general 0.1092 0.016 0.0024 0.0216 general 0.1092 0.009 0.0013 0.0119
OG0006021 alternative 0.0635 0.029 0.0026 0.0408 alternative 0.1851 0.084 0.0156 0.0843 alternative 0.1653 0.260 0.0454 0.2744
OG0006022 general 0.2545 0.007 0.0013 0.0052 general 0.2545 0.050 0.0095 0.0373 general 0.2545 0.008 0.0016 0.0064
OG0006023 general 0.0886 0.015 0.0016 0.0177 general 0.0886 0.017 0.0018 0.0204 general 0.0886 0.007 0.0008 0.0085
OG0006024 alternative 0.2290 0.175 0.0369 0.1611 alternative 0.1045 0.018 0.0025 0.0238 alternative 0.0465 0.046 0.0034 0.0733
OG0006025 general 0.0171 0.006 0.0002 0.0095 general 0.0171 0.003 0.0001 0.0045 general 0.0171 0.018 0.0005 0.0302
OG0006026 general 0.1137 0.010 0.0011 0.0095 general 0.1137 0.007 0.0007 0.0064 general 0.1137 0.017 0.0017 0.0153
OG0006027 alternative 2.1537 0.000 0.0000 0.0000 alternative 0.2087 0.041 0.0075 0.0357 alternative 0.0714 0.009 0.0008 0.0106
OG0006028 general 0.0850 0.051 0.0064 0.0755 general 0.0850 0.029 0.0037 0.0430 general 0.0850 0.019 0.0024 0.0284
